DATE,PRCP,TAVG,TMAX,TMIN
2023-03-24,0.0,27.77777777777778,37.22222222222222,23.88888888888889
2023-03-25,0.0,26.666666666666668,35.55555555555556,23.333333333333332
2023-03-26,0.21,23.88888888888889,31.666666666666668,22.77777777777778
2023-03-27,1.39,21.666666666666668,27.77777777777778,20.0
2023-03-28,0.08,22.22222222222222,23.88888888888889,20.0
2023-03-29,1.2,23.88888888888889,28.333333333333332,21.11111111111111
2023-03-30,0.0,22.22222222222222,28.333333333333332,21.11111111111111
2023-03-31,0.01,23.333333333333332,25.555555555555557,21.11111111111111
2023-04-01,0.0,26.11111111111111,29.444444444444443,22.22222222222222
2023-04-02,0.0,27.22222222222222,31.11111111111111,23.88888888888889
2023-04-03,0.0,28.333333333333332,32.22222222222222,25.0
2023-04-05,0.0,27.77777777777778,34.44444444444444,25.0
2023-04-06,0.0,26.666666666666668,34.44444444444444,22.22222222222222
2023-04-07,0.02,22.22222222222222,32.22222222222222,21.666666666666668
2023-04-08,0.13,21.666666666666668,23.333333333333332,20.555555555555557
2023-04-09,0.0,21.666666666666668,23.333333333333332,20.555555555555557
2023-04-10,0.0,25.555555555555557,29.444444444444443,20.555555555555557
2023-04-11,0.0,26.11111111111111,29.444444444444443,23.333333333333332
2023-04-12,0.0,25.555555555555557,28.333333333333332,23.333333333333332
2023-04-13,0.0,25.555555555555557,29.444444444444443,23.333333333333332
2023-04-14,0.0,26.11111111111111,29.444444444444443,23.88888888888889
2023-04-15,0.0,25.0,27.77777777777778,23.333333333333332
2023-04-16,0.0,26.666666666666668,30.555555555555557,23.333333333333332
2023-04-17,0.0,27.22222222222222,30.555555555555557,23.88888888888889
2023-04-18,0.0,29.444444444444443,35.0,25.0
2023-04-19,0.0,27.77777777777778,35.0,25.555555555555557
2023-04-20,0.0,28.333333333333332,32.77777777777778,25.555555555555557
2023-04-21,0.19,28.88888888888889,36.666666666666664,25.0
2023-04-22,0.0,29.444444444444443,36.666666666666664,25.0
2023-04-23,0.0,28.88888888888889,34.44444444444444,26.11111111111111
